Key	ES	EN
Game	Partida Nueva	New Game
Opt	Opciones	Options
Cre	Créditos	Credits
Ext	Extras	Extras
Exi	Salir	Exit
Vid	Vídeo	Video
Son	Audio	Sound
Con	Controles	Controls
Resu	Volver	Resume
Res	Resolución	Resolution
Screen	Pantalla completa	Full Screen
Quality	Graficos	Quality
MainVol	Volumen General	General Volume
MusicVol	Volumen Musica 	Music Volume
FXVol	Volumen Efectos	Fx Volume
Ent	Pulsa Enter	Press Enter
ConfExi	Estas Seguro	Are you sure 
ConfMenu	Estas Seguro	Are you sure 
Y	Si	Yes
N	No	No
Vid2	Vídeo	Video
Son2	Audio	Sound
Con2	Controles	Controls
Resu2	Volver	Resume
Res2	Resolución	Resolution
Screen2	Pantalla completa	Full Screen
Quality2	Graficos	Quality
MainVol2	Volumen General	General Volume
MusicVol2	Volumen Musica 	Music Volume
FXVol2	Volumen Efectos	Fx Volume
Exi2	Salir	Exit
Opt2	Opciones	Options
Mmenu	Menu Principal	Main Menu
